"Data";"Investimento_Direto_12m"
2008-01-01;NA
2008-02-01;NA
2008-03-01;NA
2008-04-01;NA
2008-05-01;NA
2008-06-01;NA
2008-07-01;NA
2008-08-01;NA
2008-09-01;NA
2008-10-01;NA
2008-11-01;NA
2008-12-01;50,7163
2009-01-01;46,522
2009-02-01;47,7771
2009-03-01;46,2053
2009-04-01;45,177
2009-05-01;46,1935
2009-06-01;44,4643
2009-07-01;42,6153
2009-08-01;40,3499
2009-09-01;36,4563
2009-10-01;33,9918
2009-11-01;33,0977
2009-12-01;31,481
2010-01-01;32,4289
2010-02-01;35,9831
2010-03-01;39,9324
2010-04-01;39,9389
2010-05-01;43,8308
2010-06-01;43,7931
2010-07-01;48,0034
2010-08-01;50,7955
2010-09-01;57,736
2010-10-01;66,3121
2010-11-01;72,5103
2010-12-01;82,3898
2011-01-01;85,3228
2011-02-01;90,002
2011-03-01;94,0963
2011-04-01;99,1888
2011-05-01;99,7812
2011-06-01;107,3699
2011-07-01;110,9507
2011-08-01;111,8975
2011-09-01;112,451
2011-10-01;113,1788
2011-11-01;111,1611
2011-12-01;102,4273
2012-01-01;105,3422
2012-02-01;100,7484
2012-03-01;106,0119
2012-04-01;102,3852
2012-05-01;99,4851
2012-06-01;97,6647
2012-07-01;97,7644
2012-08-01;96,9298
2012-09-01;93,1682
2012-10-01;91,0474
2012-11-01;95,0097
2012-12-01;92,5684
2013-01-01;88,1023
