"Data";"IPCA_12m";"Meta_IPCA"
2008-01-01;NA;4,5
2008-02-01;NA;4,5
2008-03-01;NA;4,5
2008-04-01;NA;4,5
2008-05-01;NA;4,5
2008-06-01;NA;4,5
2008-07-01;NA;4,5
2008-08-01;NA;4,5
2008-09-01;NA;4,5
2008-10-01;NA;4,5
2008-11-01;NA;4,5
2008-12-01;5,9023134175255;4,5
2009-01-01;5,83911331005531;4,5
2009-02-01;5,9023071283318;4,5
2009-03-01;5,60719719604745;4,5
2009-04-01;5,53367652171901;4,5
2009-05-01;5,19861573704838;4,5
2009-06-01;4,80179745255287;4,5
2009-07-01;4,49947455131701;4,5
2009-08-01;4,36400455040287;4,5
2009-09-01;4,34318587804092;4,5
2009-10-01;4,16659711149769;4,5
2009-11-01;4,21849358275692;4,5
2009-12-01;4,31202832969;4,5
2010-01-01;4,59232538033707;4,5
2010-02-01;4,83157187300218;4,5
2010-03-01;5,16636332010159;4,5
2010-04-01;5,26056089871236;4,5
2010-05-01;5,218653638476;4,5
2010-06-01;4,84122522765642;4,5
2010-07-01;4,60066774758499;4,5
2010-08-01;4,48577934566552;4,5
2010-09-01;4,70467413479749;4,5
2010-10-01;5,19541203710461;4,5
2010-11-01;5,63542869934526;4,5
2010-12-01;5,90906834726623;4,5
2011-01-01;5,99316487796382;4,5
2011-02-01;6,01419944134503;4,5
2011-03-01;6,29895704032197;4,5
2011-04-01;6,51035001445008;4,5
2011-05-01;6,55277174103155;4,5
2011-06-01;6,71260089864312;4,5
2011-07-01;6,87265379470148;4,5
2011-08-01;7,2251925367272;4,5
2011-09-01;7,31058840932988;4,5
2011-10-01;6,96975080842679;4,5
2011-11-01;6,64087425630331;4,5
2011-12-01;6,50310904062885;4,5
2012-01-01;6,21791773406364;4,5
2012-02-01;5,84910551970925;4,5
2012-03-01;5,2399926989787;4,5
2012-04-01;5,10422611119596;4,5
2012-05-01;4,98915230934236;4,5
2012-06-01;4,91576997622549;4,5
2012-07-01;5,19859004305436;4,5
2012-08-01;5,2405143591022;4,5
2012-09-01;5,28238863120369;4,5
2012-10-01;5,45011921151828;4,5
2012-11-01;5,5340429036882;4,5
2012-12-01;5,83856899763915;4,5
2013-01-01;6,15431651851515;4,5
